ProblemName,Permutation,T_lp-bb,T_lp-bb-confgraph,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-confgraph,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-confgraph,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-confgraph,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-confgraph,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-confgraph,DIQ_lp-bb-no-lp
ball_mk2_10,2,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,0,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,1,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk2_30,2,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
ball_mk3_10,0,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_10,1,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_10,2,0.5,0.5,0.5,0,0,0,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_20,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,0,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,1,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk3_30,2,0.5,0.5,0.5,1,1,1,720000,720000,720000,1,1,1,1,1,1,1,1,1
ball_mk4_05,0,0.86,1,0.96,1007,1961,1913,720000,720000,720000,0.948979591836734,1.02040816326531,1,0.549925484351714,1.02384500745156,1,1,1,1
ball_mk4_05,1,0.85,1.01,0.96,1007,1961,1913,720000,720000,720000,0.943877551020408,1.02551020408163,1,0.549925484351714,1.02384500745156,1,1,1,1
ball_mk4_05,2,0.85,0.96,0.92,1007,1961,1913,720000,720000,720000,0.963541666666667,1.02083333333333,1,0.549925484351714,1.02384500745156,1,1,1,1
ball_mk4_10,0,576.78,1172.44,1170.38,1177625,2110941,2099707,720000,720000,720000,0.493247280984821,1.00175860950332,1,0.560872975468698,1.00535001550142,1,1,1,1
ball_mk4_10,1,577.94,1172.66,1171,1177625,2110941,2099707,720000,720000,720000,0.493976109215017,1.00141638225256,1,0.560872975468698,1.00535001550142,1,1,1,1
ball_mk4_10,2,574.79,1171.07,1169.01,1177625,2110941,2099707,720000,720000,720000,0.49212399894018,1.00176066871223,1,0.560872975468698,1.00535001550142,1,1,1,1
ball_mk4_15,0,7200,7200,7200,3459469,3354229,3175514,720000,720000,720000,1,1,1,1.08941735362043,1.05627730574308,1,1,1,1
ball_mk4_15,1,7200,7200,7200,3466224,3384352,3107824,720000,720000,720000,1,1,1,1.1153181351925,1.08897514868446,1,1,1,1
ball_mk4_15,2,7200,7200,7200,3440102,3349481,3145049,720000,720000,720000,1,1,1,1.0938120896657,1.06499914630436,1,1,1,1
batch,0,1.11,1.09,1.06,2,2,2,4.86,3.88,4.07,1.02427184466019,1.01456310679612,1,1,1,1,1.19410319410319,0.953316953316953,1
batch,1,0.5,0.5,0.5,2,2,2,1.45,1.19,1.19,1,1,1,1,1,1,1.21848739495798,1,1
batch,2,0.76,0.78,0.76,2,2,2,4.32,5.35,5.3,1,1.01136363636364,1,1,1,1,0.815094339622642,1.00943396226415,1
